OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74
ASV1	20949	7800	12602	14794	0	5973	2001	21722	8817	9658	0	6105	0	50761	41948	8236	11549	24	6372	0	0	2984	11	0	0	0	24095	6296	50431	21234	38	12893	13110	8	3932	18498	23905	2201	20890	9	26724	6	79598	4298	15035	10370	0	10269	32856	7282	3526	19915	11754	37575	17179	19586	529	11365	16403	11367	5425	11029	627	18811	13591	1307	10145	11739	8833	5791	3984	7812	9132	3428	4157
ASV2	153	10	211	66	60299	0	1708	98	10	1	156761	109284	22736	4014	1053	3465	527	42860	878	97222	95193	15773	20550	16831	17777	20383	665	0	1255	1	0	60	1750	2231	54500	0	6	0	12	2	3740	0	9966	168	153	7	22604	43	34856	40	1	12	8156	76	218	1986	20701	30	814	2	310	399	18	46	223	947	980	474	159	60	1190	119	1734	20	35
ASV3	1975	508	3392	7399	10701	15552	0	0	0	9495	2	11710	2264	0	0	12805	1231	58	3682	116	0	0	993	0	0	13135	36374	0	8064	3259	93	199	4	1	29	9447	13	2	3459	0	310	0	1	2196	1875	974	35371	4819	0	7682	2	2318	13295	0	8602	5	4143	5393	18012	509	5160	3008	525	5415	0	0	8342	0	10558	1596	1	1595	157	2553	528
ASV4	1474	2457	2030	5154	0	1455	10034	755	7926	4439	0	9	0	10908	7180	1144	793	56	394	0	0	771	0	0	0	675	6852	4025	3293	888	21	2829	1366	24346	11273	6530	1125	30397	2133	1469	591	5	11606	1302	1869	5282	0	6609	6670	4706	486	3288	81	3195	3068	219	2377	4837	963	5504	6250	3580	6334	6537	7620	1804	903	7311	3744	8443	6974	1327	1810	3209	2455
ASV5	30090	80	8463	134	0	37891	0	1444	5543	32	0	163	0	0	18637	216	6660	3	28535	0	0	369	0	0	0	9937	1	508	3	23	0	5	6496	2	6	28660	7	223	633	255	793	3	5	368	2329	4023	0	237	0	66	1969	504	2	234	44	3156	0	7702	148	240	2232	6436	1014	1950	144	178	7719	9283	7250	1487	491	11670	15843	194	476
ASV6	14843	205	944	2706	0	1	0	0	3675	10359	0	646	0	0	2	179	2704	2	0	0	0	0	0	0	0	32844	3	1	2	30797	0	6223	2459	103	62	6	2	15	22	421	477	5	3	820	21800	1670	0	1	0	125	21911	897	0	4	7882	0	20	14192	73	0	2628	5122	30	915	1988	11118	0	21022	13852	248	518	12237	10579	20	156
ASV7	13475	1517	20479	5947	0	8669	0	1952	3272	387	0	1779	0	2106	40377	721	803	8	4038	2	0	7	0	0	0	1	10757	665	439	538	33	1820	733	15	1939	1590	717	24	3947	13	3187	27	1421	1566	5309	2340	0	10076	38	314	9	11929	47	2208	13586	1801	22267	1400	13464	1327	4043	3753	89	7042	884	1703	182	3065	603	1566	5317	1549	510	3894	1295
ASV8	0	0	26	0	8636	2	2533	1813	0	0	22	0	7	3354	3	454	0	17557	27	1737	17530	7	25112	477	23821	5334	1752	0	1030	0	0	0	5	3111	4814	57	5803	1	0	3	0	0	10124	0	0	41	35428	22	65	1179	1166	1	1251	22	464	0	4221	55	21	141	548	1	0	286	33	30	377	0	0	12	284	0	58	14	0
ASV9	17339	2824	12	7084	0	5370	16326	15	81	4021	2	803	0	5133	3	594	13	0	4173	0	0	12	955	0	0	0	2	2861	1	207	0	155	0	2367	2848	2288	2617	13	4648	587	0	0	9	664	5	43	0	11119	1	524	10	2394	5770	7	3367	1	20326	1261	283	1219	488	4433	1061	574	458	230	339	17063	22	3976	6653	544	1214	7749	440
ASV10	2446	88	6736	6127	0	1	5839	13	5038	17763	0	193	364	164	87	9182	236	0	344	0	0	7	0	0	0	0	2	3101	3931	2152	14	59	517	211	316	18	240	220	86	19	482	3	10873	1355	583	7807	0	7026	81	1321	3673	3879	1287	6969	329	0	1870	3	10135	4707	2167	8477	2399	10163	7276	2112	37	1461	3070	1916	638	1094	193	1685	3872
